version:v1.0
Nom [displayName] Obligatoire,Nom d'utilisateur [userPrincipalName] Obligatoire,Mot de passe initial [passwordProfile] Obligatoire,Bloquer la connexion (Oui/Non) [accountEnabled] Obligatoire,Prénom [givenName],Nom de famille [surname],Poste [jobTitle],Service [department],Lieu d'utilisation [usageLocation],Rue [streetAddress],Département ou région [state],Pays ou région [country],Office [physicalDeliveryOfficeName],Ville [city],Code postal [postalCode],Téléphone (bureau) [telephoneNumber],Téléphone mobile [mobile]
Anthony Knight,anthony.knight@likabo-ind.me,$)rtH5QoiB,Non,Anthony,Knight,Responsable Audit,Audit,JP,1755 Jacob Spur Suite 532,Centre,Angola,Allen Ltd,Bafoussam,57446,(633)287-8871,(405)623-7364x939
Ashley Murray,ashley.murray@likabo-ind.me,R6XHzXRr%(,Non,Ashley,Murray,Responsable Audit,Audit,IQ,994 Butler Centers Apt. 052,Nord,Monaco,Johnson LLC,Bafoussam,83491,5499331173,852-855-6783x3077
Anthony Kennedy,anthony.kennedy@likabo-ind.me,#Y$ENRacz5,Non,Anthony,Kennedy,Contrôleur de Gestion,Finance,MY,998 Ayala Hills Apt. 767,Nord,Rwanda,"Good, Aguirre and Craig",Garoua,39010,001-594-618-3105x94775,(779)652-6543x05848
Danielle Baxter,danielle.baxter@likabo-ind.me,a&_4JvXeWF,Non,Danielle,Baxter,Responsable Audit,Audit,TV,4923 Baker Plains,Nord,Reunion,"Brown, Rice and Scott",Yaoundé,27748,750-486-0351x064,(274)959-0792
Susan Vaughn,susan.vaughn@likabo-ind.me,tC3f5O_l$n,Non,Susan,Vaughn,Contrôleur de Gestion,Finance,QA,50572 Elaine Station,Sud,Wallis and Futuna,"Smith, Brown and Petersen",Garoua,27453,415-579-7511,582.433.6487
Michael Campbell,michael.campbell@likabo-ind.me,C+v!4IlBld,Non,Michael,Campbell,Commercial,Ventes,TO,5362 Jenkins Stravenue,Littoral,Guernsey,"Harris, Russell and Clark",Bafoussam,09668,549.219.8745,571-375-4616x953
Pamela Love,pamela.love@likabo-ind.me,9FXAp7br%H,Non,Pamela,Love,Assistant RH,RH,WS,335 Bowers Street Apt. 858,Centre,Tajikistan,Perez Group,Douala,65310,631.864.4531,(235)882-6361x68289
Larry Garcia,larry.garcia@likabo-ind.me,*bTI9ewSn0,Non,Larry,Garcia,Comptable,Finance,UZ,00669 Suzanne Islands,Ouest,Germany,Barber Group,Kribi,83450,+1-461-699-7278x084,736.260.8176
Alice Smith,alice.smith@likabo-ind.me,pN03H(l1!N,Non,Alice,Smith,Responsable Audit,Audit,LC,753 Peter Greens Suite 287,Littoral,Saint Barthelemy,"Ferguson, Caldwell and Collins",Bafoussam,06413,+1-311-813-3687,462.841.5141
Jay Herrera,jay.herrera@likabo-ind.me,vfn6+Ey0@W,Non,Jay,Herrera,Commercial,Ventes,SC,55686 Harrison Throughway Apt. 685,Nord,Belarus,"Hernandez, Ali and Andersen",Kribi,37454,+1-371-934-3858x1813,+1-860-376-7109
Jeffrey West,jeffrey.west@likabo-ind.me,3pWWO168%q,Non,Jeffrey,West,Analyste Conformité,Compliance,MA,73852 Gregory Throughway Suite 012,Sud,Papua New Guinea,Parker Ltd,Bafoussam,00821,+1-357-241-2758x7626,823-513-5154x807
Olivia Hamilton,olivia.hamilton@likabo-ind.me,(5V@SdG1is,Non,Olivia,Hamilton,Assistant Commercial,Ventes,BY,497 Ronald Mountains Suite 211,Ouest,New Zealand,Davis and Sons,Bafoussam,50934,(430)250-7784x604,8713765969
Brian Collins,brian.collins@likabo-ind.me,Ew7EU9w&^4,Non,Brian,Collins,Comptable,Finance,KW,69361 Mays Row Suite 687,Sud,Qatar,Byrd-Wright,Yaoundé,08461,(320)414-1374x71565,781-230-0290
Emily Johnson,emily.johnson@likabo-ind.me,*#OX*2uN8d,Non,Emily,Johnson,Analyste Financier,Finance,ZW,4634 Jacob Rapid,Sud,Micronesia,Barnes and Sons,Bafoussam,17674,293-228-4091,(355)394-9287x3962
Joseph Murillo,joseph.murillo@likabo-ind.me,R5u8XOis)A,Non,Joseph,Murillo,Agent Support,Support Client,SD,7162 Anna Vista,Littoral,Bahrain,"Williams, Norton and Keller",Kribi,45304,8666878533,+1-409-988-9519x20639
